varname,description
HMO_IND_05,HMO Indicator - May
HMO_IND_06,HMO Indicator - June
HMO_IND_07,HMO Indicator - July
HMO_IND_08,HMO Indicator - August
HMO_IND_09,HMO Indicator - September
HMO_IND_10,HMO Indicator - October
HMO_IND_11,HMO Indicator - November
HMO_IND_12,HMO Indicator - December
PTC_CNTRCT_ID_01,Part C Contract Number - January
PTC_CNTRCT_ID_02,Part C Contract Number - February
PTC_CNTRCT_ID_03,Part C Contract Number - March
PTC_CNTRCT_ID_04,Part C Contract Number - April
PTC_CNTRCT_ID_05,Part C Contract Number - May
PTC_CNTRCT_ID_06,Part C Contract Number - June
PTC_CNTRCT_ID_07,Part C Contract Number - July
PTC_CNTRCT_ID_08,Part C Contract Number - August
PTC_CNTRCT_ID_09,Part C Contract Number - September
PTC_CNTRCT_ID_10,Part C Contract Number - October
PTC_CNTRCT_ID_11,Part C Contract Number - November
PTC_CNTRCT_ID_12,Part C Contract Number - December
PTC_PBP_ID_01,Part C PBP Number - January
PTC_PBP_ID_02,Part C PBP Number - February
PTC_PBP_ID_03,Part C PBP Number - March
PTC_PBP_ID_04,Part C PBP Number - April
PTC_PBP_ID_05,Part C PBP Number - May
PTC_PBP_ID_06,Part C PBP Number - June
PTC_PBP_ID_07,Part C PBP Number - July
PTC_PBP_ID_08,Part C PBP Number - August
PTC_PBP_ID_09,Part C PBP Number - September
PTC_PBP_ID_10,Part C PBP Number - October
PTC_PBP_ID_11,Part C PBP Number - November
PTC_PBP_ID_12,Part C PBP Number - December
PTC_PLAN_TYPE_CD_01,Part C Plan Type Code - January
PTC_PLAN_TYPE_CD_02,Part C Plan Type Code - February
PTC_PLAN_TYPE_CD_03,Part C Plan Type Code - March
PTC_PLAN_TYPE_CD_04,Part C Plan Type Code - April
PTC_PLAN_TYPE_CD_05,Part C Plan Type Code - May
PTC_PLAN_TYPE_CD_06,Part C Plan Type Code - June
PTC_PLAN_TYPE_CD_07,Part C Plan Type Code - July
PTC_PLAN_TYPE_CD_08,Part C Plan Type Code - August
PTC_PLAN_TYPE_CD_09,Part C Plan Type Code - September
PTC_PLAN_TYPE_CD_10,Part C Plan Type Code - October
PTC_PLAN_TYPE_CD_11,Part C Plan Type Code - November
PTC_PLAN_TYPE_CD_12,Part C Plan Type Code - December
PTD_CNTRCT_ID_01,Part D Contract Number - January
PTD_CNTRCT_ID_02,Part D Contract Number - February
PTD_CNTRCT_ID_03,Part D Contract Number - March
PTD_CNTRCT_ID_04,Part D Contract Number - April
PTD_CNTRCT_ID_05,Part D Contract Number - May
PTD_CNTRCT_ID_06,Part D Contract Number - June
PTD_CNTRCT_ID_07,Part D Contract Number - July
PTD_CNTRCT_ID_08,Part D Contract Number - August
PTD_CNTRCT_ID_09,Part D Contract Number - September
PTD_CNTRCT_ID_10,Part D Contract Number - October
PTD_CNTRCT_ID_11,Part D Contract Number - November
PTD_CNTRCT_ID_12,Part D Contract Number - December
PTD_PBP_ID_01,Part D PBP Number - January
PTD_PBP_ID_02,Part D PBP Number - February
PTD_PBP_ID_03,Part D PBP Number - March
PTD_PBP_ID_04,Part D PBP Number - April
PTD_PBP_ID_05,Part D PBP Number - May
PTD_PBP_ID_06,Part D PBP Number - June
PTD_PBP_ID_07,Part D PBP Number - July
PTD_PBP_ID_08,Part D PBP Number - August
PTD_PBP_ID_09,Part D PBP Number - September
PTD_PBP_ID_10,Part D PBP Number - October
PTD_PBP_ID_11,Part D PBP Number - November
PTD_PBP_ID_12,Part D PBP Number - December
PTD_SGMT_ID_01,Part D Segment Number - January
PTD_SGMT_ID_02,Part D Segment Number - February
PTD_SGMT_ID_03,Part D Segment Number - March
PTD_SGMT_ID_04,Part D Segment Number - April
PTD_SGMT_ID_05,Part D Segment Number - May
PTD_SGMT_ID_06,Part D Segment Number - June
PTD_SGMT_ID_07,Part D Segment Number - July
PTD_SGMT_ID_08,Part D Segment Number - August
PTD_SGMT_ID_09,Part D Segment Number - September
PTD_SGMT_ID_10,Part D Segment Number - October
PTD_SGMT_ID_11,Part D Segment Number - November
PTD_SGMT_ID_12,Part D Segment Number - December
RDS_IND_01,Part D Retiree Drug Subsidy Indicator - January
RDS_IND_02,Part D Retiree Drug Subsidy Indicator - February
RDS_IND_03,Part D Retiree Drug Subsidy Indicator - March
RDS_IND_04,Part D Retiree Drug Subsidy Indicator - April
RDS_IND_05,Part D Retiree Drug Subsidy Indicator - May
RDS_IND_06,Part D Retiree Drug Subsidy Indicator - June
RDS_IND_07,Part D Retiree Drug Subsidy Indicator - July
RDS_IND_08,Part D Retiree Drug Subsidy Indicator - August
RDS_IND_09,Part D Retiree Drug Subsidy Indicator - September
RDS_IND_10,Part D Retiree Drug Subsidy Indicator - October
RDS_IND_11,Part D Retiree Drug Subsidy Indicator - November
RDS_IND_12,Part D Retiree Drug Subsidy Indicator - December
DUAL_STUS_CD_01,Medicare-Medicaid dual eligibility code - January
DUAL_STUS_CD_02,Medicare-Medicaid dual eligibility code - February
DUAL_STUS_CD_03,Medicare-Medicaid dual eligibility code - March
DUAL_STUS_CD_04,Medicare-Medicaid dual eligibility code - April
DUAL_STUS_CD_05,Medicare-Medicaid dual eligibility code - May
DUAL_STUS_CD_06,Medicare-Medicaid dual eligibility code - June
DUAL_STUS_CD_07,Medicare-Medicaid dual eligibility code - July
DUAL_STUS_CD_08,Medicare-Medicaid dual eligibility code - August
DUAL_STUS_CD_09,Medicare-Medicaid dual eligibility code - September
DUAL_STUS_CD_10,Medicare-Medicaid dual eligibility code - October
DUAL_STUS_CD_11,Medicare-Medicaid dual eligibility code - November
DUAL_STUS_CD_12,Medicare-Medicaid dual eligibility code - December
CST_SHR_GRP_CD_01,Part D low-income cost share group code - January
CST_SHR_GRP_CD_02,Part D low-income cost share group  code - February
CST_SHR_GRP_CD_03,Part D low-income cost share group  code - March
CST_SHR_GRP_CD_04,Part D low-income cost share group  code - April
CST_SHR_GRP_CD_05,Part D low-income cost share group  code - May
CST_SHR_GRP_CD_06,Part D low-income cost share group  code - June
CST_SHR_GRP_CD_07,Part D low-income cost share group  code - July
CST_SHR_GRP_CD_08,Part D low-income cost share group  code - August
CST_SHR_GRP_CD_09,Part D low-income cost share group  code - September
CST_SHR_GRP_CD_10,Part D low-income cost share group  code - October
CST_SHR_GRP_CD_11,Part D low-income cost share group  code - November
CST_SHR_GRP_CD_12,Part D low-income cost share group  code - December
PROBVALID,Estimated Probability of Match Validity
