Variable name,Variable (VAR) Label,VAR type,VAR length,Range of values,Value Description,Notes
ON_DME_FFS_YYYY,On Durable Medical Equipment Fee-for-Service File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the DME_FFS file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage years 2016-2018
,,,,1,Linkage-eligible and has data on the DME_FFS file for a specific year (YYYY), 
ON_HHA_FFS_YYYY,On Home Health Agency Fee-for-Service File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the HHA_FFS file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage years 2016-2018
,,,,1,Linkage-eligible and has data on the HHA_FFS file for a specific year (YYYY), 
ON_HOSPICE_FFS_YYYY,On Hospice File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the HOSPICE_FFS file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage years 2016-2018
,,,,1,Linkage-eligible and has data on the HOSPICE_FFS file for a specific year (YYYY), 
ON_OUTPAT_FFS_YYYY,On Outpatient Fee-for-Service File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the OUTPAT_FFS file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage years 2016-2018
,,,,1,Linkage-eligible and has data on the OUTPAT_FFS file for a specific year (YYYY), 
ON_INPAT_FFS_YYYY,On Inpatient Fee-for-Service File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the INPAT_FFS file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage or under age 18",YYYY represents Medicare coverage years 2016-2018
,,,,1,Linkage-eligible and has data on the INPAT_FFS file for a specific year (YYYY), 
ON_SNF_FFS_YYYY,On Skilled Nursing Facility Fee-for-Service File Indicator ,Num,8,0,"Linkage-eligible, but does not have data on the SNF_FFS file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage years 2016-2018
,,,,1,Linkage-eligible and has data on the SNF_FFS file for a specific year (YYYY), 
ON_OASIS_YYYY,On Home Health Outcome and Assessment Information Set (OASIS) file indicator,Num,8,0,"Linkage-eligible, but does not have data on the OASIS file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage years 2016-2018
,,,,1,Linkage-eligible and has data on the OASIS file for a specific year (YYYY), 
ON_MDS_YYYY,On Long Term Care Minimum Data Set (MDS) File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the MDS file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage years 2016-2018
,,,,1,Linkage-eligible and has data on the MDS file for a specific year (YYYY), 
ON_CARRIER_MA_YYYY,On Professional (Carrier) Medicare Advantage File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the CARRIER_MA file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage year 2016
,,,,1,Linkage-eligible and has data on the CARRIER_MA file for a specific year (YYYY), 
ON_DME_MA_YYYY,On Durable Medical Equipment Medicare Advantage File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the DME_MA file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage year 2016
,,,,1,Linkage-eligible and has data on the DME_MA file for a specific year (YYYY), 
ON_HHA_MA_YYYY,On Home Health Agency Medicare Advantage File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the HHA_MA file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage year 2016
,,,,1,Linkage-eligible and has data on the HHA_MA file for a specific year, 
ON_INPAT_MA_YYYY,On Inpatient Medicare Advantage File,Num,8,0,"Linkage-eligible, but does not have data on the INPAT_MA file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage year 2016
,,,,1,Linkage-eligible and has data on the INPAT_MA file for a specific year (YYYY), 
ON_OUTPAT_MA_YYYY,On Outpatient Medicare Advantage File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the OUTPAT_MA file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage year 2016
,,,,1,Linkage-eligible and has data on the OUTPAT_MA file for a specific year (YYYY), 
ON_SNF_MA_YYYY,On Skilled Nursing Facility Medicare Advantage File Indicator,Num,8,0,"Linkage-eligible, but does not have data on the SNF_MA file for a specific year (YYYY); or ineligible for the NCHS-CMS Medicare linkage; or under age 18",YYYY represents Medicare coverage year 2016
,,,,1,Linkage-eligible and has data on the SNF_MA file for a specific year (YYYY), 
,,,,,,
,,,,,,
 , , , , , , 
